id_driver,date_registration,driver_rating,gold_level_count,receive_marketing,country,service_type,month
15260831,11/18/2015,4.85,2,TRUE,Spain,TAXI,November
58194598,3/12/2020,4.79,26,TRUE,Gremany,PHV,March
48382094,3/20/2019,4.91,3,FALSE,Gremany,TAXI,March
52914047,8/2/2019,4.96,10,TRUE,Gremany,PHV,August
13784223,3/6/2015,4.91,75,TRUE,Gremany,TAXI,March
34855757,2/6/2019,4.94,19,TRUE,Spain,TAXI,February
56894312,1/17/2020,4.95,2,TRUE,Gremany,PHV,January
34487571,1/16/2019,4.87,29,TRUE,Spain,TAXI,January
6661233,7/16/2013,5,3,TRUE,Gremany,TAXI,July
17691194,7/13/2016,4.99,67,TRUE,Gremany,TAXI,July
53060281,8/9/2019,4.97,0,TRUE,Gremany,PHV,August
443472,11/16/2011,4.76,0,TRUE,Gremany,TAXI,November
23866085,10/25/2017,4.88,32,TRUE,Spain,TAXI,October
31719693,9/6/2018,4.89,20,TRUE,Spain,TAXI,September
17304592,6/7/2016,4.9,9,TRUE,Spain,TAXI,June
58460655,4/29/2020,4.95,0,TRUE,Gremany,TAXI,April
18113111,8/25/2016,4.88,40,FALSE,Spain,TAXI,August
57950700,3/2/2020,4.78,5,TRUE,Gremany,TAXI,March
13198523,12/10/2014,4.93,9,TRUE,Spain,TAXI,December
32286204,10/3/2018,4.9,17,TRUE,Spain,TAXI,October
31185854,8/9/2018,4.82,25,FALSE,Spain,TAXI,August
19267063,12/5/2016,4.96,99,TRUE,Spain,TAXI,December
19992017,6/22/2014,4.91,13,TRUE,Spain,TAXI,June
21173391,5/16/2017,5,37,TRUE,Spain,TAXI,May
18995818,11/9/2016,4.97,116,TRUE,Gremany,TAXI,November
49180076,4/23/2019,4.91,1,TRUE,Spain,TAXI,April
57615363,2/19/2020,4.86,0,TRUE,Spain,TAXI,February
153017,5/30/2011,5,2,TRUE,Gremany,TAXI,May
15369117,12/1/2015,4.71,5,TRUE,Gremany,TAXI,December
25124337,1/15/2018,4.91,63,TRUE,Spain,TAXI,January
2039285,8/31/2012,4.77,2,FALSE,Spain,TAXI,August
15168040,11/5/2015,4.99,73,TRUE,Gremany,TAXI,November
2376079,9/26/2012,4.95,29,FALSE,Gremany,TAXI,September
29478659,6/19/2018,4.94,52,TRUE,Spain,TAXI,June
56711202,1/7/2020,4.98,0,TRUE,Gremany,PHV,January
53948388,9/17/2019,4.79,1,TRUE,Gremany,PHV,September
1873,5/29/2011,4.81,0,TRUE,Gremany,TAXI,May
33429997,11/26/2018,5,16,FALSE,Gremany,TAXI,November
23555896,10/3/2017,4.95,1,TRUE,Spain,TAXI,October
28658779,5/28/2018,4.85,12,FALSE,Spain,TAXI,May
15749696,1/4/2016,4.95,72,FALSE,Gremany,TAXI,January
55160205,11/5/2019,4.93,1,TRUE,Gremany,PHV,November
25316661,2/1/2018,4.98,11,TRUE,Gremany,TAXI,February
15901092,1/21/2016,4.81,0,TRUE,Spain,TAXI,January
15485273,12/14/2015,4.95,29,TRUE,Spain,TAXI,December
53475932,8/28/2019,4.95,0,TRUE,Gremany,PHV,August
22733946,8/9/2017,4.99,45,FALSE,Gremany,TAXI,August
25376724,2/6/2018,4.87,4,FALSE,Gremany,TAXI,February
15503356,12/16/2015,4.91,0,FALSE,Gremany,TAXI,December
15220941,11/13/2015,4.93,76,FALSE,Gremany,TAXI,November
19968001,5/17/2013,4.87,4,FALSE,Spain,TAXI,May
57292573,2/4/2020,4.96,0,TRUE,Gremany,PHV,February
12726072,10/24/2014,4.92,0,TRUE,Spain,TAXI,October
20743172,4/19/2017,4.9,48,FALSE,Gremany,TAXI,April
5687909,5/14/2013,4.9,5,TRUE,Gremany,TAXI,May
14829051,9/25/2015,4.93,94,TRUE,Gremany,TAXI,September
24597264,12/12/2017,4.79,42,TRUE,Spain,TAXI,December
33928638,12/19/2018,4.91,45,TRUE,Spain,TAXI,December
4009439,1/14/2013,4.93,2,TRUE,Gremany,PHV,January
22060681,6/26/2017,4.98,39,FALSE,Gremany,TAXI,June
34841302,2/5/2019,4.33,1,TRUE,Gremany,TAXI,February
